id,comic_name,writer_name,publisher,publication_magazine,publish_number,publish_status,duration,img_url,rating
7595,しよっ,渡辺祥智,NINO,,巻,連載中," 〜 ",,--
7596,やっぱりえっちなプレゼント,六堂真稀,コアマガジン,,巻,連載中," 〜 ",,--
7597,BEM,,,,,,,,
7598,魔法が解ける迄,つくも号,"グループ ゼロ",,巻,連載中," 〜 ",,--
7599,チャラ男さんと恋になんて落ちない!,愛染マナ,ぶんか社,,巻,連載中," 〜 ",,--
7600,全員くたばれ!大学生,サレンダー橋本,扶桑社,,巻,連載中," 〜 ",,--
7601,あい・ターン,おーはしるい,ぶんか社,主任がゆく!スペシャル,2巻,連載中,"2017 〜 ",https://images-na.ssl-images-amazon.com/images/I/51m5BPWcazL.jpg,--
7602,リスケは恋のはじまり,笹塚だい,ぶんか社,,巻,連載中," 〜 ",,--
7603,カフェを閉めたらふたりの時間,すずしろやくも,クリエイティブエンタテインメント,,巻,連載中," 〜 ",,--
7604,目に入れたら痛いです。,花津ハナヨ,スキマ,,巻,連載中," 〜 ",,--
7605,傭兵やくざ,西野公平,日本出版社,,全1巻,完結済,"1992 〜 1992",,--
7606,関よしみホラー,関よしみ,ぶんか社,,巻,連載中," 〜 ",,--
7607,執着心,美輝妖,"グループ ゼロ",,巻,連載中," 〜 ",,--
7608,きみはアイドル,サカモトミク,白泉社,,巻,連載中," 〜 ",,--
7609,熱風の虎,村上もとか,集英社,,全4巻,完結済,"1989 〜 1978",,--
7610,鬼親,阪口ナオミ,ぶんか社,,巻,連載中," 〜 ",,--
7611,ひみつの生徒会室,夏目かつら,"グループ ゼロ",,巻,連載中," 〜 ",,--
7612,ひよくれんり,"Remi なかゆんきなこ",アルファポリス,,巻,連載中," 〜 ",,--
7613,ダメな男ほど愛しい,ユキムラ,"グループ ゼロ",,巻,連載中," 〜 ",,--
7614,虚飾のランウェイ,七夜ユズル,A-WAGON,,巻,連載中," 〜 ",,--
7615,KAIRI,野村圭一,"グループ ゼロ",,巻,連載中," 〜 ",,--
7616,この愛は、異端。,森山絵凪,白泉社,ヤングアニマル嵐,3巻,連載中,"2017 〜 ",https://images-na.ssl-images-amazon.com/images/I/51gS915XveL.jpg,--
7617,かさねの道,"かわさき健 今谷鉄柱",実業之日本社,週刊漫画サンデー,全1巻,完結済,"2010 〜 2010",https://images-na.ssl-images-amazon.com/images/I/516fuC3cOML.jpg,--
7618,ああん!ソコを押されると我慢できません!,稲本いねこ,ぶんか社,,巻,連載中," 〜 ",,--
7619,鈴木みきの富士登山ご案内,鈴木みき,イースト・プレス,,全1巻,完結済,"2017 〜 2017",https://images-na.ssl-images-amazon.com/images/I/51ZAsX59JqL.jpg,--
7620,あまえないでよっ!!,宗我部としのり,ワニブックス,コミックガム,全7巻,完結済,"2004 〜 2007",https://images-na.ssl-images-amazon.com/images/I/6150AZZTY3L.jpg,--
7621,ぶっだなでいず,なかおもとこ,双葉社,マンガリーフ,全3巻,完結済,"2017 〜 2018",https://images-na.ssl-images-amazon.com/images/I/51JRVnK3Q6L.jpg,--
7622,保健室での逆調教,六堂真稀,コアマガジン,,巻,連載中," 〜 ",,--
7623,1/4の溺愛,高橋依摘,ぶんか社,,巻,連載中," 〜 ",,--
7624,死にたいボクと生きるキミ,パカチャン,マッグガーデン,Beat's,1巻,連載中,"2016 〜 ",https://images-na.ssl-images-amazon.com/images/I/51C0ef%2BPqrL.jpg,--
7625,アイの行為を記録して,江戸屋ぽち,コアマガジン,,巻,連載中," 〜 ",,--
7626,"まんがグリム童話 六羽の白鳥",竹崎真実,ぶんか社,,巻,連載中," 〜 ",,--
7627,恋愛以上セフレ未満,きりあきら,コアマガジン,,巻,連載中," 〜 ",,--
7628,"まんがグリム童話 黒王子と監禁ロマンス","みさと美夕稀 大橋薫 佐々木みすず その他",ぶんか社,,巻,連載中," 〜 ",,--
7629,抱かれたい女,森園みるく,秋田書店,,全1巻,完結済,"1989 〜 1989",,--
7630,天使か悪魔か,越智千文,桜桃書房,,全3巻,完結済,"1996 〜 1997",https://images-na.ssl-images-amazon.com/images/I/51bJDw%2BLgdL.jpg,--
7631,からめるハニー,拓平,マッグガーデン,uvu,全1巻,完結済,"2016 〜 2016",https://images-na.ssl-images-amazon.com/images/I/51BxGDTZ%2BzL.jpg,--
7632,"DARK QUEEN",松原あきら,講談社,Yahoo!コミックス,全2巻,完結済,"2008 〜 2008",https://images-na.ssl-images-amazon.com/images/I/51aDbKNOOJL.jpg,--
7633,初めて恋をした日に読む話,持田あき,集英社,Cookie,9巻,連載中,"2016 〜 ",https://images-na.ssl-images-amazon.com/images/I/51%2BXEWwhfcL.jpg,--
7634,"綴 -目を開けて見えた景色-",椿あす,スクウェア・エニックス,月刊ガンガンJOKER,全2巻,完結済,"2017 〜 2017",https://images-na.ssl-images-amazon.com/images/I/51U87nMzZ1L.jpg,--
7635,残酷なランデブー,森素子,ハーレクイン,ハーレクイン,全巻,完結済," 〜 ",,--
